cai_type,cai_subtype,name,address,city,state,zip,island,county,latitude,longitude
Higher Education,Community College,Windward Community College,45-720 Keaahala Rd,Kaneohe,HI,96744,Oahu,Honolulu,21.40792981,-157.8122254
Medical Facility,Hospital,Wahiawa General Hospital,128 Lehua Street,Wahiawa,HI,96786,Oahu,Honolulu,21.498877,-158.0262543
Medical Facility,Community Health Center,Hamakua-Kohala Health Center - Honokaa Clinic,45-549 Plumeria St,Honokaa,HI,96727,Hawaii,Hawaii,20.0758332,-155.4700295
Medical Facility,Community Health Center,Hamakua-Kohala Health Center - Kohala Clinic,53-3925 Akoni Pule Highway,Kapaau,HI,96755,Hawaii,Hawaii,20.23114739,-155.7969161
Medical Facility,Community Health Center,Hamakua-Kohala Health Center - Laupahoehoe Clinic,35-2065 Old Mamalahoa Highway,Laupahoehoe,HI,96743,Hawaii,Hawaii,19.97960513,-155.2276043
Medical Facility,Community Health Center,Hamakua-Kohala Health Center - Waimea Clinic,65-1190 Mamalahoa Highway,Waimea,HI,96743,Hawaii,Hawaii,20.02099362,-155.6685763
Medical Facility,Community Health Center,Hana Health,4590 Hana Highway,Haiku,HI,96713,Maui,Maui,20.7635539,-155.9945557
Medical Facility,Public Health Nursing Center,Lanakila Health Center,1700 Lanakila Ave,Honolulu,HI,96817,Oahu,Honolulu,21.32794591,-157.8614119
Medical Facility,Family Guidance Center,East Hawaii Family Guidance Center,88 Kanoelehua Ave Suite B-107,Hilo,HI,96720,Hawaii,Hawaii,19.72155564,-155.0647138
Medical Facility,Family Guidance Center,West Hawaii Family Guidance Center - Kona,75-5722 Kuakini Hwy Suite 201,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.63958906,-155.9915812
Medical Facility,Family Guidance Center,West Hawaii Family Guidance Center - Waimea,65-1230 Mamalahoa Hwy Suite A-11,Kamuela,HI,96743,Hawaii,Hawaii,20.01922303,-155.6711094
Medical Facility,Family Guidance Center,Leeward Oahu Family Guidance Center,601 Kamokila Blvd Suite 355,Kapolei,HI,96707,Oahu,Honolulu,21.33127973,-158.0837407
Medical Facility,Family Guidance Center,Maui Family Guidance Center - Wailuku,270 Waiehu Beach Rd Suite 213,Wailuku,HI,96793,Maui,Maui,20.90348877,-156.4827126
Medical Facility,Family Guidance Center,Maui Family Guidance Center - Molokai,65 Makaena Pl,Kaunakakai,HI,96748,Molokai,Maui,21.09062761,-157.0221573
Medical Facility,Family Guidance Center,Kauai Family Guidance Center,3059 Umi St Room A-014,Lihue,HI,96766,Kauai,Kauai,21.97565194,-159.3664861
Medical Facility,Public Health Nursing Center,Naalehu Health Center,94-5669 Mamalahoa Hwy,Naalehu,HI,96772,Hawaii,Hawaii,,
Medical Facility,Community Health Center,"Kalihi-Palama Health Center - Behavioral Health, Medical, Health Education & Pharmacy",952 North King Street,Honolulu,HI,96817,Oahu,Honolulu,21.3236261,-157.8679334
Medical Facility,Community Health Center,HICHC Administration East,450 Kilauea Avenue,Hilo,HI,96720,Hawaii,Hawaii,19.7191087,-155.0826339
Medical Facility,Community Health Center,HICHC Administration West,75-5751 Kuakini Highway,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.6386624,-155.9903608
Medical Facility,Community Health Center,HICHC Hilo Family Dental,1257 Kilauea Avenue Suite 100,Hilo,HI,96720,Hawaii,Hawaii,19.7102475,-155.0761296
Medical Facility,Community Health Center,HICHC Hilo Family Health,1178 Kinoole Street Bldg B,Hilo,HI,96720,Hawaii,Hawaii,19.7102336,-155.0797935
Medical Facility,Community Health Center,HICHC Hilo Keiki Health,450 Kilauea Avenue Suite 103,Hilo,HI,96720,Hawaii,Hawaii,19.7190052,-155.0827144
Medical Facility,Community Health Center,HICHC Hilo Women's Health,73 Puuhonu Place,Hilo,HI,96720,Hawaii,Hawaii,19.7167782,-155.0977724
Medical Facility,Community Health Center,HICHC Kau Family Health and Dental,95-5583 Mamalahoa Highway,Naalehu,HI,96772,Hawaii,Hawaii,19.0606541,-155.5827828
Medical Facility,Community Health Center,HICHC Keaau Family Health and Dental,16-192 Pili Mua Street,Keaau,HI,96749,Hawaii,Hawaii,19.6207592,-155.0393657
Medical Facility,Community Health Center,HICHC Kealakehe Family Health and Dental,74-5214 Keanalehu Drive,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.6660757,-155.9939891
Medical Facility,Community Health Center,HICHC Kealakekua Family Health,81-980 Halekii Street,Kealakekua,HI,96750,Hawaii,Hawaii,19.5175617,-155.9217475
Medical Facility,Community Health Center,HICHC Kuakini Family Health,75-5751 Kuakini Highway,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.6386295,-155.9902253
Medical Facility,Community Health Center,HICHC Pahoa Family Health,15-2866 Pahoa Village Road Bldg C,Pahoa,HI,96778,Hawaii,Hawaii,19.4949053,-154.9490438
Medical Facility,Community Health Center,HICHC Pahoa Women's and Keiki Health,15-2866 Pahoa Village Road Bldg F,Pahoa,HI,96778,Hawaii,Hawaii,19.494617,-154.948789
Medical Facility,Community Health Center,HICHC Waikoloa Family Dental,68-1845 Waikoloa Road,Waikoloa Village,HI,96738,Hawaii,Hawaii,19.9285526,-155.7870026
Medical Facility,Community Health Center,HICHC Waikoloa Family Health,68-1845 Waikoloa Road,Waikoloa Village,HI,96738,Hawaii,Hawaii,19.928482,-155.7870134
Medical Facility,Community Health Center,Kalihi-Palama Health Center - Comprehensive Primary Health Care,710 North King Street,Honolulu,HI,96817,Oahu,Honolulu,21.3206774,-157.8656642
Medical Facility,Community Health Center,Kalihi-Palama Health Center - Downtown,89 South King Street,Honolulu,HI,96813,Oahu,Honolulu,21.3092916,-157.8623791
Medical Facility,Community Health Center,Kalihi-Palama Health Center - Kaaahi Clinic,546 Kaaahi Street,Honolulu,HI,96817,Oahu,Honolulu,21.3177812,-157.8658587
Medical Facility,Community Health Center,Kalihi-Palama Health Center - Kohou Clinic,904 Kohou Street Suite 306,Honolulu,HI,96817,Oahu,Honolulu,21.3247858,-157.8708697
Medical Facility,Community Health Center,Kalihi-Palama Health Center - Main Campus,915 North King Street,Honolulu,HI,96817,Oahu,Honolulu,21.3228397,-157.868272
Medical Facility,Community Health Center,Kalihi-Palama Health Center - Optometry,888 North King Street,Honolulu,HI,96817,Oahu,Honolulu,21.3227685,-157.8674814
Medical Facility,Community Health Center,Kauai Community Health Center - Ho'ola Admin Office,4491 Rice Street Suite 106,Lihue,HI,96766,Kauai,Kauai,21.9751887,-159.3706799
Medical Facility,Community Health Center,Kauai Community Health Center - Kapaa,4800D Kawaihau Road,Kapaa,HI,96746,Kauai,Kauai,22.08746314,-159.3105155
Medical Facility,Community Health Center,Kauai Community Health Center - Waimea,4643B Waimea Canyon Drive,Waimea,HI,96796,Kauai,Kauai,21.96127873,-159.6711212
Medical Facility,Community Health Center,Kokua Kalihi Valley Comprehensive Family Services,2239 North School Street,Honolulu,HI,96819,Oahu,Honolulu,21.3406845,-157.8746154
Medical Facility,Community Health Center,Kokua Kalihi Valley - Elder Care Center,1846 Gulick Ave,Honolulu,HI,96819,Oahu,Honolulu,21.34166723,-157.8691959
Medical Facility,Community Health Center,Koolauloa Health Center - Hauula,54-316 Kamehameha Hwy Suite 6,Hauula,HI,96717,Oahu,Honolulu,21.6201371,-157.9164769
Medical Facility,Community Health Center,Koolauloa Health Center - Kahuku,56-119 Pualalea St,Kahuku,HI,96731,Oahu,Honolulu,21.6760768,-157.9534346
Medical Facility,Community Health Center,Lanai Community Health Center,333 Sixth Street,Lanai City,HI,96763,Lanai,Maui,20.8267724,-156.9213693
Medical Facility,Community Health Center,Malama I Ke Ola Health Center - Lahaina Satellite,15 Ipu Aumakua Lane,Lahaina,HI,96761,Maui,Maui,20.869166,-156.6668531
Medical Facility,Community Health Center,Malama I Ke Ola Health Center - Main Clinic,1881 Nani St,Wailuku,HI,96793,Maui,Maui,20.8886506,-156.4994126
Medical Facility,Community Health Center,Malama I Ke Ola Health Center - Wailuku Satellite,670 A Waiale Road,Wailuku,HI,96793,Maui,Maui,20.8750291,-156.4988064
Medical Facility,Community Health Center,Molokai Community Health Center,30 Oki Place,Kaunakakai,HI,96748,Molokai,Maui,21.0859959,-157.0192034
Medical Facility,Community Health Center,Wahiawa Health,302 California Ave. Suite 106,Wahiawa,HI,96786,Oahu,Honolulu,21.4956851,-158.0312861
Medical Facility,Community Health Center,Waianae Coast Comprehensive Health Center - Main Campus,86-260 Farrington Highway,Waianae,HI,96792,Oahu,Honolulu,21.4301074,-158.1792704
Medical Facility,Community Health Center,Waianae Coast Comprehensive Health Center - Nanakuli Clinic,89-102 Farrington Highway Suite 300,Waianae,HI,96792,Oahu,Honolulu,21.3818557,-158.1432924
Medical Facility,Community Health Center,Waianae Coast Comprehensive Health Center - Waiola Clinic,86-120 Farrington Highway Suite C305-A,Waianae,HI,96792,Oahu,Honolulu,21.4361764,-158.1842607
Medical Facility,Community Health Center,Waikiki Health - Ohua Clinic,277 Ohua Avenue,Honolulu,HI,96815,Oahu,Honolulu,21.2755686,-157.8205083
Medical Facility,Native Hawaiian Community Health Center,Hui Malama Ola Na Oiwi,82 Puuhonu Place Suite 209,Hilo,HI,96720,Hawaii,Hawaii,19.71704411,-155.09833
Medical Facility,Native Hawaiian Community Health Center,Hui No Ke Ola Pono - Hana,5101 Uakea Road Room D18,Hana,HI,96713,Maui,Maui,20.75345078,-155.9840477
Medical Facility,Native Hawaiian Community Health Center,Hui No Ke Ola Pono - Wailuku,95 Mahalani St. Room #21,Wailuku,HI,96793,Maui,Maui,20.88700809,-156.4883451
Medical Facility,Native Hawaiian Community Health Center,Ke Ola Mamo Clinic,321 North Kuakini St Suite 308,Honolulu,HI,96817,Oahu,Honolulu,21.32160723,-157.8563735
Medical Facility,Native Hawaiian Community Health Center,Na Puuwai,604 Mauna Loa Hwy,Kaunakakai,HI,96748,Molokai,Maui,21.09690214,-157.034599
Medical Facility,Critical Access Hospital,Hale Hoola Hamakua,45-547 Plumeria Street,Honokaa,HI,96727,Hawaii,Hawaii,20.0763522,-155.4696996
Medical Facility,Critical Access Hospital,Kahuku Medical Center,56-117 Pualalea Street,Kahuku,HI,96731,Oahu,Honolulu,21.6765242,-157.9543398
Medical Facility,Critical Access Hospital,Kau Hospital,1 Kamani Street,Pahala,HI,96777,Hawaii,Hawaii,19.1996226,-155.472072
Medical Facility,Critical Access Hospital,Kauai Veterans Memorial Hospital,4643 Waimea Canyon Road,Waimea,HI,96796,Kauai,Kauai,21.960408,-159.6706169
Medical Facility,Critical Access Hospital,Kohala Hospital,54-383 Hospital Road,Kapaau,HI,96755,Hawaii,Hawaii,20.2325092,-155.7966633
Medical Facility,Critical Access Hospital,Kula Hospital,100 Keokea Place,Kula,HI,96790,Maui,Maui,20.7012696,-156.3572025
Medical Facility,Critical Access Hospital,Lanai Community Hospital,628 7th Street,Lanai City,HI,96763,Lanai,Maui,20.8258886,-156.9171542
Medical Facility,Critical Access Hospital,Molokai General Hospital,280 Home Olu Place,Kaunakakai,HI,96748,Molokai,Maui,21.0940641,-157.0173768
Medical Facility,Critical Access Hospital,Samuel Mahelona Memorial Hospital,4800 Kawaihau Road,Kapaa,HI,96746,Kauai,Kauai,22.0874041,-159.3127077
Medical Facility,Hospital,Adventist Health Castle,640 Ulukahiki Street,Kailua,HI,96734,Oahu,Honolulu,21.3808542,-157.7577805
Medical Facility,Hospital,Hawaii State Hospital,45-710 Keaahala Road,Kaneohe,HI,96744,Oahu,Honolulu,21.4050303,-157.8159967
Medical Facility,Hospital,Hilo Medical Center,1190 Waianuenue Avenue,Hilo,HI,96720,Hawaii,Hawaii,19.7182225,-155.112929
Medical Facility,Hospital,Kahi Mohala,91-2301 Fort Weaver Road,Ewa Beach,HI,96706,Oahu,Honolulu,21.3736193,-158.0322464
Medical Facility,Hospital,Kaiser Foundation Hospital,3288 Moanalua Road,Honolulu,HI,96819,Oahu,Honolulu,21.3632867,-157.9000959
Medical Facility,Hospital,Kapiolani Medical Center for Women and Children,1319 Punahou Street,Honolulu,HI,96826,Oahu,Honolulu,21.2998407,-157.83346
Medical Facility,Hospital,Kona Community Hospital,79-1019 Haukapila Street,Kealakekua,HI,96750,Hawaii,Hawaii,19.5200872,-155.9174734
Medical Facility,Hospital,Kuakini Medical Center,347 North Kuakini Street,Honolulu,HI,96817,Oahu,Honolulu,21.3221588,-157.8568994
Medical Facility,Hospital,Leahi Hospital,3675 Kilauea Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.2732481,-157.801604
Medical Facility,Hospital,Maui Memorial Medical Center,221 Mahalani Street,Wailuku,HI,96793,Maui,Maui,20.8849312,-156.4896768
Medical Facility,Hospital,Pali Momi Medical Center,98-1079 Moanalua Road,Aiea,HI,96701,Oahu,Honolulu,21.3836315,-157.9382988
Medical Facility,Hospital,Queens North Hawaii Community Hospital,67-1125 Mamalahoa Highway,Kamuela,HI,96743,Hawaii,Hawaii,20.0222379,-155.6645437
Medical Facility,Hospital,Rehabilitation Hospital of the Pacific,226 North Kuakini Street,Honolulu,HI,96817,Oahu,Honolulu,21.3214998,-157.8544163
Medical Facility,Hospital,Shriners Hospital for Children,1310 Punahou Street,Honolulu,HI,96826,Oahu,Honolulu,21.3006885,-157.835392
Medical Facility,Hospital,Straub Clinic and Hospital,888 South King Street,Honolulu,HI,96813,Oahu,Honolulu,21.3025452,-157.8507094
Medical Facility,Hospital,The Queens Medical Center,1301 Punchbowl Street,Honolulu,HI,96813,Oahu,Honolulu,21.3079135,-157.8535968
Medical Facility,Hospital,The Queens Medical Center - West Oahu,91-2141 Fort Weaver Road,Ewa Beach,HI,96706,Oahu,Honolulu,21.3724853,-158.0267894
Medical Facility,Hospital,Wilcox Memorial Hospital,3-3420 Kuhio Highway,Lihue,HI,96766,Kauai,Kauai,21.985558,-159.3657232
Medical Facility,Rural Health Clinic,Castle Health Clinic of Laie,55-510 Kamehameha Highway Suite 5,Laie,HI,96762,Oahu,Honolulu,21.6467877,-157.9222517
Medical Facility,Rural Health Clinic,East Hawaii Health Clinic at 1190 Waianuenue,1190 Waianuenue Avenue First Floor,Hilo,HI,96720,Hawaii,Hawaii,19.7178993,-155.1131033
Medical Facility,Rural Health Clinic,East Hawaii Health Clinic at Keaau,16-523 Keaau Pahoa Road,Keaau,HI,96749,Hawaii,Hawaii,19.623796,-155.0400416
Medical Facility,Rural Health Clinic,East Hawaii Health Clinic at Puuhonu Way,75 Puuhonu Place Suite 100,Hilo,HI,96720,Hawaii,Hawaii,19.7158604,-155.096658
Medical Facility,Rural Health Clinic,Five Mountains Hawaii Inc.,64-1035 Mamalahoa Highway Suite F-G,Kamuela,HI,96743,Hawaii,Hawaii,20.0248499,-155.6588466
Medical Facility,Rural Health Clinic,HHSC-Kauai Region Clinics Specialty Clinic at Kalaheo,2469 Puu Road Suite C,Kalaheo,HI,96741,Kauai,Kauai,21.9236055,-159.5270147
Medical Facility,Rural Health Clinic,HHSC-Kauai Region Clinics the Clinic at Kalaheo,4489 Papalina Road,Kalaheo,HI,96741,Kauai,Kauai,21.9251257,-159.5276839
Medical Facility,Rural Health Clinic,HHSC-Kauai Region Clinics the Clinic at Kapaa,4800 Kawaihau Road,Kapaa,HI,96746,Kauai,Kauai,22.0867218,-159.3109052
Medical Facility,Rural Health Clinic,HHSC-Kauai Region Clinics the Clinic at Poipu,2829 Ala Kalani Kaumaka Street Suite B201,Koloa,HI,96756,Kauai,Kauai,21.8848286,-159.4701019
Medical Facility,Rural Health Clinic,HHSC-Kauai Region Clinics the Clinic at Port Allen,4353 Waialo Road,Eleele,HI,96705,Kauai,Kauai,21.9018491,-159.5868967
Medical Facility,Rural Health Clinic,HHSC-Kauai Region Clinics the Clinic at Waimea,4643 Waimea Canyon Drive Suite B,Waimea,HI,96796,Kauai,Kauai,21.9603707,-159.6706786
Medical Facility,Rural Health Clinic,Kahuku Clinic,56-565 Kamehameha Highway,Kahuku,HI,96731,Oahu,Honolulu,21.6776907,-157.9509455
Medical Facility,Rural Health Clinic,Kau Hospital Rural Health Clinic,1 Kamani Street,Pahala,HI,96777,Hawaii,Hawaii,19.1995656,-155.4720962
Medical Facility,Rural Health Clinic,Kihei Clinic,1279 South Kihei Road Suite 120,Kihei,HI,96753,Maui,Maui,20.7495792,-156.4544015
Medical Facility,Rural Health Clinic,Lahaina Clinic,910 Wainee Street,Lahaina,HI,96761,Maui,Maui,20.8792269,-156.6793737
Medical Facility,Rural Health Clinic,Molokai General Hospital Rural Health Clinic,280 Home Olu Place,Kaunakakai,HI,96748,Molokai,Maui,21.0936799,-157.017417
Medical Facility,Rural Health Clinic,Primary Care Clinic Rural Health Clinic,65-1267 Kawaihae Road,Kamuela,HI,96743,Hawaii,Hawaii,20.0215511,-155.6732388
Medical Facility,Rural Health Clinic,Puna Community Medical Center Rural Health Clinic,15-2662 Pahoa Village Road Suite 303-305,Pahoa,HI,96778,Hawaii,Hawaii,19.5053259,-154.9577013
Medical Facility,Rural Health Clinic,The Clinic at Kahuku Medical Center Rural Health Clinic,56-117 Pualalea Street,Kahuku,HI,96731,Oahu,Honolulu,21.6765217,-157.954258
Medical Facility,Rural Health Clinic,Women's Center Rural Health Clinic,67-1123 Mamalahoa Highway,Kamuela,HI,96743,Hawaii,Hawaii,20.0216003,-155.6732978
Medical Facility,Hospital,Tripler Army Medical Center,1 Jarrett White Rd,Honolulu,HI,96859,Oahu,Honolulu,21.35961656,-157.8925886
Medical Facility,Public Health Nursing Center,Wailuku Health Center,121 Mahalani St,Wailuku,HI,96793,Maui,Maui,20.88608986,-156.487929
Medical Facility,Public Health Nursing Center,Lahaina Comprehensive Health Center,1830 HONOAPIILANI HWY,Lahaina,HI,96793,Maui,Maui,20.90428841,-156.6841493
Medical Facility,Public Health Nursing Center,Kauai Public Health Nursing Branch,3040 Umi St,Lihue,HI,96766,Kauai,Kauai,21.97459853,-159.3662572
Medical Facility,Public Health Nursing Center,Molokai Public Health Nursing Branch,65 Makaena Pl Rm 107,Kaunakakai,HI,96748,Molokai,Maui,21.09062761,-157.0221573
Medical Facility,Public Health Nursing Center,Lanai Public Health Nursing Branch,905 Ilima Ave,Lanai City,HI,96763,Lanai,Maui,20.82364872,-156.919245
Medical Facility,Public Health Nursing Center,Hilo Public Health Nursing Branch,75 Aupuni St,Hilo,HI,96720,Hawaii,Hawaii,19.71842786,-155.0774123
Medical Facility,Public Health Nursing Center,Kona Health Center,79-1015 Haukapila St,Kealakekua,HI,96750,Hawaii,Hawaii,19.52067745,-155.9188367
Medical Facility,Public Health Nursing Center,Waimea Health Center,67-5189 Kamamalu St,Kamuela,HI,96743,Hawaii,Hawaii,20.02408584,-155.6622836
Medical Facility,Public Health Nursing Center,Windward Health Center / Family Guidance,45-691 Keaahala Rd Bldg B,Kaneohe,HI,96744,Oahu,Honolulu,21.40979894,-157.8116555
Medical Facility,Public Health Nursing Center,Waianae Neighborhood Community Center,85-670 Farrington Hwy Rm 7,Waianae,HI,96792,Oahu,Honolulu,21.45128376,-158.1903994
Medical Facility,Public Health Nursing Center,Waipahu Civic Center,94-275 Mokuola St Rm 101,Waipahu,HI,96797,Oahu,Honolulu,21.38588644,-158.0028886
Medical Facility,Public Health Nursing Center,Diamond Head Health Center / Family Guidance,3627 Kilauea Ave Rm 302,Honolulu,HI,96816,Oahu,Honolulu,21.2738801,-157.802822
Medical Facility,Public Health Nursing Center,Leeward Health Center / Family Guidance,860 Fourth St Rm 166,Pearl City,HI,96782,Oahu,Honolulu,21.39272783,-157.9697207
Medical Facility,Community Health Center,Waianae Coast Comprehensive Health Center - Ewa Clinic,91-1841 Fort Weaver Road,Ewa Beach,HI,96716,Oahu,Honolulu,21.354228,-158.0291658
Medical Facility,Community Health Center,Waianae Coast Comprehensive Health Center - Waipahu,94-428 Mokuola Street Suite 108B,Waipahu,HI,96797,Oahu,Honolulu,21.3871953,-158.0061001
Medical Facility,Community Health Center,Waianae Coast Comprehensive Health Center - West Oahu,599 Farrington Highway,Kapolei,HI,96707,Oahu,Honolulu,21.3394204,-158.0763978
Medical Facility,Community Health Center,Waikiki Health - Keauhou Shelter,1020 Isenberg Street,Honolulu,HI,96826,Oahu,Honolulu,21.2939058,-157.8257044
Medical Facility,Community Health Center,Waikiki Health - Makahiki Shelter,935 Makahiki Way,Honolulu,HI,96826,Oahu,Honolulu,21.293331,-157.827288
Medical Facility,Community Health Center,Waikiki Health - PATH Clinic,845 22nd Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.2713985,-157.7920123
Medical Facility,Community Health Center,Waikiki Health - Youth Outreach,415 Keoniana Street,Honolulu,HI,96815,Oahu,Honolulu,21.2851143,-157.8319627
Medical Facility,Community Health Center,Waimanalo Health Center - Hale Ola Akahi,41-1347 Kalanianaole Hwy,Waimanalo,HI,96795,Oahu,Honolulu,21.3474356,-157.7163213
Medical Facility,Community Health Center,Waimanalo Health Center - Hale Ola Akolu Luluku,45-600 Kamehameha Hwy,Kaneohe,HI,96744,Oahu,Honolulu,21.4006955,-157.799997
Medical Facility,Community Health Center,Waimanalo Health Center - Hale Ola Alua,41-1295 Kalanianaole Hwy,Waimanalo,HI,96795,Oahu,Honolulu,21.347094,-157.7145303
Private School,Independent,Iolani School,563 Kamoku Street,Honolulu,HI,96826,Oahu,Honolulu,21.28469,-157.82393
Private School,Nondenominational,Hanalani Schools,94-294 Anania Drive,Mililani,HI,96789,Oahu,Honolulu,21.440914,-158.00925
Private School,Nondenominational,Hawai'i Pacific University,1 Aloha Tower Drive,Honolulu,HI,96813,Oahu,Honolulu,21.306555,-157.86563
Private School,Baptist,Hawaii Baptist Academy,420 Wyllie Street,Honolulu,HI,96817,Oahu,Honolulu,21.330017,-157.84746
Private School,Seventh-day Adventist,Hawaiian Mission Academy - 9-12 Campus,1438 Pensacola St,Honolulu,HI,96822,Oahu,Honolulu,21.305703,-157.84387
Private School,Seventh-day Adventist,Hawaiian Mission Academy - Windward Campus,160 Mookua Street,Kailua,HI,96734,Oahu,Honolulu,21.402387,-157.74145
Private School,Seventh-day Adventist,Hawaiian Mission Academy Ka Lama Iki,1415 Makiki Street,Honolulu,HI,96814,Oahu,Honolulu,21.301482,-157.83689
Private School,Independent,Ho'ala School,1067 A California Avenue,Wahiawa,HI,96786,Oahu,Honolulu,21.498121,-158.02301
Private School,Roman Catholic,Holy Family Catholic Academy,830 Main Street,Honolulu,HI,96818,Oahu,Honolulu,21.338664,-157.93035
Private School,Episcopal,Holy Nativity School,5286 Kalaniana'ole Highway,Honolulu,HI,96821,Oahu,Honolulu,21.278585,-157.75226
Private School,Buddhist,Hongwanji Mission School,1728 Pali Highway,Honolulu,HI,96813,Oahu,Honolulu,21.316601,-157.85344
Private School,Nondenominational,Honolulu Waldorf School,350 Ulua Street,Honolulu,HI,96821,Oahu,Honolulu,21.285546,-157.73459
Private School,Independent,Huakailani School for Girls,45-035 Kaneohe Bay Drive,Kaneohe,HI,96744,Oahu,Honolulu,21.410674,-157.77932
Private School,Nondenominational,Island Pacific Academy,909 Haumea Street,Kapolei,HI,96707,Oahu,Honolulu,21.332961,-158.08041
Private School,Christian,Kaimuki Christian School,1117 Koko Head Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.281049,-157.79819
Private School,Protestant,Kamehameha Schools Kapalama,1887 Makuakane Street,Honolulu,HI,96817,Oahu,Honolulu,21.342174,-157.85492
Private School,Protestant,Kawaiaha'o Church School,872 Mission Lane,Honolulu,HI,96813,Oahu,Honolulu,21.304062,-157.85832
Private School,Baptist,Ko'olau Baptist Academy,45-633 Keneke St.,Kaneohe,HI,96744,Oahu,Honolulu,21.404172,-157.80621
Private School,Independent,La Pietra - Hawaii School for Girls,2933 Poni Moi Road,Honolulu,HI,96815,Oahu,Honolulu,21.261252,-157.81595
Private School,Baptist,Lanakila Baptist Schools,94-1250 Waipahu Street,Waipahu,HI,96797,Oahu,Honolulu,21.393603,-158.00008
Private School,Nondenominational,Le Jardin Academy,917 Kalaniana'ole Highway,Kailua,HI,96734,Oahu,Honolulu,21.379265,-157.76793
Private School,Nondenominational,Maili Bible School,87-138 Gilipake Street,Waianae,HI,96792,Oahu,Honolulu,21.417132,-158.17591
Private School,Roman Catholic,"Mary, Star of the Sea Early Learning Center","4470 Aliikoa Street, #100",Honolulu,HI,96821,Oahu,Honolulu,21.279431,-157.78156
Private School,Roman Catholic,"Mary, Star of the Sea School",4469 Malia Street,Honolulu,HI,96821,Oahu,Honolulu,21.279303,-157.78124
Private School,Roman Catholic,Maryknoll School,1526 Alexander Street,Honolulu,HI,96822,Oahu,Honolulu,21.30092,-157.83043
Private School,Christian,Mid-Pacific Institute,2445 Kaala Street,Honolulu,HI,96822,Oahu,Honolulu,21.304886,-157.81719
Private School,Independent,Montessori Community School,1239 Nehoa Street,Honolulu,HI,96822,Oahu,Honolulu,21.30857,-157.83642
Private School,Christian,New Hope Christian School,"94-050 Farrington Hwy., Suite C-2",Waipahu,HI,96797,Oahu,Honolulu,21.377581,-158.0241
Private School,Roman Catholic,Our Lady of Good Counsel School,1530 Hoolana Street,Pearl City,HI,96782,Oahu,Honolulu,21.405215,-157.96435
Private School,Buddhist,Pacific Buddhist Academy,1754 Lusitana Street,Honolulu,HI,96813,Oahu,Honolulu,21.316175,-157.85122
Private School,Christian,Pearl Harbor Christian Academy,94-1044 Waipio Uka St.,Waipahu,HI,96797,Oahu,Honolulu,21.413292,-157.99909
Private School,Nondenominational,Punahou School,1601 Punahou Street,Honolulu,HI,96822,Oahu,Honolulu,21.304689,-157.82486
Private School,Roman Catholic,Rosary Preschool,94-1249 Lumikula St.,Waipahu,HI,96797,Oahu,Honolulu,21.409835,-157.99316
Private School,Roman Catholic,Sacred Hearts Academy,3253 Waialae Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.28603,-157.80667
Private School,Roman Catholic,Saint Louis School,3142 Waialae Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.289908,-157.80725
Private School,Lutheran,Saint Mark Lutheran School,45-725 Kamehameha Hwy.,Kaneohe,HI,96744,Oahu,Honolulu,21.408016,-157.79829
Private School,Roman Catholic,Saint Patrick School,3320 Harding Avenue,Honolulu,HI,96816,Oahu,Honolulu,21.28505,-157.8057
Private School,Roman Catholic,Saint Theresa School - Honolulu,712 North School Street,Honolulu,HI,96817,Oahu,Honolulu,21.324626,-157.86068
Private School,Independent,Soto Academy,"829 Pensacola Street, Rm. 201",Honolulu,HI,96814,Oahu,Honolulu,21.298567,-157.84605
Private School,Roman Catholic,St Anthony School Kailua,148 Makawao Street,Kailua,HI,96734,Oahu,Honolulu,21.400592,-157.73934
Private School,Episcopal,St. Andrew's Schools - Queen Emma Preschool,3019 Pali Highway,Honolulu,HI,96817,Oahu,Honolulu,21.337108,-157.83742
Private School,Episcopal,St. Andrew's Schools - The Prep,224 Queen Emma Square,Honolulu,HI,96813,Oahu,Honolulu,21.309885,-157.85742
Private School,Episcopal,St. Clement's School,1515 Wilder Avenue,Honolulu,HI,96822,Oahu,Honolulu,21.303313,-157.83477
Private School,Roman Catholic,St. Elizabeth School,99-310 Moanalua Road,Aiea,HI,96701,Oahu,Honolulu,21.3764475,-157.93027
Private School,Roman Catholic,St. John Vianney School,940 Keolu Drive,Kailua,HI,96734,Oahu,Honolulu,21.379537,-157.72925
Private School,Roman Catholic,St. Joseph Parish School,94-651 Farrington Hwy.,Waipahu,HI,96797,Oahu,Honolulu,21.382795,-158.00803
Private School,Roman Catholic,St. Michael School,67-340 Haona Street,Waialua,HI,96791,Oahu,Honolulu,21.569038,-158.12189
Private School,Roman Catholic,St. Philomena Early Learning Center,3300 Ala Laulani Street,Honolulu,HI,96818,Oahu,Honolulu,21.346102,-157.91415
Private School,Nondenominational,The Children's House,1840 Komo Mai Drive,Pearl City,HI,96782,Oahu,Honolulu,21.415139,-157.9627
