cai_type,cai_subtype,name,address,city,state,zip,island,county,latitude,longitude
Public School,Middle,Waianae Intermediate,85-626 Farrington Highway,Waianae,HI,96792,Oahu,Honolulu,21.4515603,-158.19334
Charter School,Elementary-Middle-High,Connections PCS,174 Kamehameha Avenue,Hilo,HI,96720,Hawaii,Hawaii,19.7253883,-155.08627
Charter School,Elementary-Middle-High,Hawaii Academy of Arts and Science PCS,15-1397 Homestead Road,Pahoa,HI,96778,Hawaii,Hawaii,19.5000248,-154.94484
Charter School,Elementary-Middle,Innovations PCS,75-5815 Queen Kaahumanu Highway,Kailua-Kona,HI,96740,Hawaii,Hawaii,19.6320333,-155.97509
Charter School,Elementary-Middle,Ka Umeke Kaeo PCS,222 Desha Avenue,Hilo,HI,96720,Hawaii,Hawaii,19.7284282,-155.04494
Public School,Elementary,Hookele Elementary,511 Kunehi Street,Kapolei,HI,96707,Oahu,Honolulu,21.3273246,-158.07205
Charter School,Elementary-Middle-High,Hakipuu Learning Center PCS,45-720 Keaahala Road,Kaneohe,HI,96744,Oahu,Honolulu,21.4094773,-157.81002
Charter School,Intermediate,Halau Ku Mana PCS,2101 Makiki Heights Drive,Honolulu,HI,96822,Oahu,Honolulu,21.3131123,-157.82977
Charter School,Elementary-Middle-High,Hawai'i Technology Academy PCS,94-450 Mokuola Street,Waipahu,HI,96797,Oahu,Honolulu,21.3880608,-158.00702
Charter School,Elementary-Middle,Ke Kula 'o Nawahiokalani'opu'u Iki Laboratory PCS,16-120 Opukahaia Street Suite 2,Keaau,HI,96749,Hawaii,Hawaii,19.6057481,-155.02896
Charter School,Elementary-Middle-High,Kawaikini NCPCS,3-1821 J Kaumualii Hwy,Lihue,HI,96766,Kauai,Kauai,21.9684091,-159.39952
Early Head Start,,EHS East II,92-1750 Kunia Drive,Kunia,HI,96759,Oahu,Honolulu,21.4616421,-158.0640649
Early Head Start,,EHS Homevisiting at Ewa Beach,91-1841 Fort Weaver Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.3542,-158.0292
Early Head Start,,EHS West I,92-1750 Kunia Drive,Kunia,HI,96759,Oahu,Honolulu,21.4616421,-158.0640649
Early Head Start,,EHS West II,92-1750 Kunia Drive,Kunia,HI,96759,Oahu,Honolulu,21.4616421,-158.0640649
Early Head Start,,Ka Pua,87-790 Kulauka Street,Waianae,HI,96792,Oahu,Honolulu,21.4069,-158.1709
Early Head Start,,Kahuku HB,54-316 Kamehameha Hwy # 5A,Hauula,HI,96717,Oahu,Honolulu,21.6201,-157.9165
Early Head Start,,Kamaaina Kids - Barber's Pt.,1965 Bougainville Ave,Kapolei,HI,96707,Oahu,Honolulu,21.3264,-158.0579
Early Head Start,,Kamaaina Kids - Ewa,91-1841 Fort Weaver Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.3547,-158.0293
Early Head Start,,Kamaaina Kids - Maili,87-227 Saint Johns Rd,Waianae,HI,96792,Oahu,Honolulu,21.4164,-158.1725
Early Head Start,,Kuhio Park Terrace Portable,1485 Linapuni St,Honolulu,HI,96819,Oahu,Honolulu,21.3381,-157.8769
Early Head Start,,Leeward Health Center,860 Fourth St Ste 110,Pearl City,HI,96782,Oahu,Honolulu,21.3926,-157.9698
Early Head Start,,Waialua High School,67-160 Farrington Hwy,Waialua,HI,96791,Oahu,Honolulu,21.5657,-158.1258
Early Head Start,,Waimanalo Portable,"41-038 Wailea St, Mod 1",Waimanalo,HI,96795,Oahu,Honolulu,21.3332,-157.697
Early Head Start,,West Oahu Home Base,94-366 Pupupani St Ste 302,Waipahu,HI,96797,Oahu,Honolulu,21.3816,-158.0169
Head Start,,442,85-555 Farrington Hwy,Waianae,HI,96792,Oahu,Honolulu,21.4518,-158.1943
Head Start,,Aiea El.,99-370 Moanalua Rd,Aiea,HI,96701,Oahu,Honolulu,21.3762,-157.9281
Head Start,,Ala Wai El.,503 Kamoku St Rm E-33,Honolulu,HI,96826,Oahu,Honolulu,21.2849,-157.827
Head Start,,Ben Parker El.,45-259 Waikalua Rd,Kaneohe,HI,96744,Oahu,Honolulu,21.4138,-157.7971
Head Start,,Daniel K. Inouye El.,1 Waianae Avenue,Wahiawa,HI,96786,Oahu,Honolulu,21.4899,-158.0491
Head Start,,Early Head Start at Consuelo Cottage,91-1841 Fort Weaver Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.3542,-158.0292
Head Start,,Enchanted Lake El.,770 Keolu Dr Rm D-5,Kailua,HI,96734,Oahu,Honolulu,21.383,-157.7323
Head Start,,Ewa El.,91-1280 Renton Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.3441,-158.0336
Head Start,,Fern PrePlus Elementary School,1121 Middle St,Honolulu,HI,96819,Oahu,Honolulu,21.3388,-157.8818
Head Start,,Halawa,99-795 Iwaiwa St,Aiea,HI,96701,Oahu,Honolulu,21.3723,-157.915
Head Start,,Hauula El.,54-046 Kamehameha Hwy Rm C-15,Hauula,HI,96717,Oahu,Honolulu,21.6063,-157.9082
Head Start,,Heeia El.,46-202 Haiku Rd Rm E-6,Kaneohe,HI,96744,Oahu,Honolulu,21.418,-157.8085
Head Start,,HS HB 1,92-1750 Kunia Drive,Kunia,HI,96759,Oahu,Honolulu,21.4565,-158.0595
Head Start,,HS HB II,92-1750 Kunia Drive,Kunia,HI,96759,Oahu,Honolulu,21.4565,-158.0595
Head Start,,Iroquois Point El.,5553 Cormorant Ave,Ewa Beach,HI,96706,Oahu,Honolulu,21.3195,-157.9816
Head Start,,Jefferson El.,324 Kapahulu Ave,Honolulu,HI,96815,Oahu,Honolulu,21.2734,-157.82
Head Start,,Ka Pua,87-790 Kulauku St,Waianae,HI,96792,Oahu,Honolulu,21.4069,-158.1709
Head Start,,Kaala El.,130 California Ave,Wahiawa,HI,96786,Oahu,Honolulu,21.4943,-158.0367
Head Start,,Kaewai El.,1929 Kamehameha IV Rd,Honolulu,HI,96819,Oahu,Honolulu,21.3455,-157.8696
Head Start,,Kahaluu El.,47-280 Waihee Rd,Kaneohe,HI,96744,Oahu,Honolulu,21.4575,-157.8475
Head Start,,Kahi Kolu,85-296 Ala Hema St,Waianae,HI,96792,Oahu,Honolulu,21.4534,-158.1902
Head Start,,Kahuku,56-170 Pualalea St,Kahuku,HI,96731,Oahu,Honolulu,21.6745,-157.9512
Head Start,,Kailua El.,315 Kuulei Rd,Kailua,HI,96734,Oahu,Honolulu,21.3956,-157.7415
Head Start,,Kaimiloa El.,91-1028 Kaunolu St,Ewa Beach,HI,96706,Oahu,Honolulu,21.3198,-158.0086
Head Start,,Kainalu El.,165 Kaiholu St,Kailua,HI,96734,Oahu,Honolulu,21.4129,-157.7492
Head Start,,Kaiulani El.,783 N King St,Honolulu,HI,96817,Oahu,Honolulu,21.3213,-157.8677
Head Start,,Kalihi Elementary School,2471 Kula Kolea Dr,Honolulu,HI,96819,Oahu,Honolulu,21.3524,-157.8611
Head Start,,Kalihi Kai El.,626 McNeill St,Honolulu,HI,96817,Oahu,Honolulu,21.3434,-157.8391
Head Start,,Kaneohe El.,45-495 Kamehameha Hwy,Kaneohe,HI,96744,Oahu,Honolulu,21.3964,-157.796
Head Start,,Kapalama El.,1601 N School St,Honolulu,HI,96817,Oahu,Honolulu,21.3353,-157.869
Head Start,,Keiki Country,87-412 Kaukama Rd,Waianae,HI,96792,Oahu,Honolulu,21.404,-158.1765
Head Start,,Kipapa El.,95-076 Kipapa Dr,Mililani,HI,96789,Oahu,Honolulu,21.4613,-158.0125
Head Start,,KMCBH,257 Reed Rd,Kailua,HI,96734,Oahu,Honolulu,21.4503,-157.7589
Head Start,,Kuhio El.,2759 S King St,Honolulu,HI,96826,Oahu,Honolulu,21.2897,-157.8196
Head Start,,Kunia,92-1750 Kunia Dr,Kunia,HI,96759,Oahu,Honolulu,21.4505,-158.0602
Head Start,,Laie El.,55-109 Kulanui St,Laie,HI,96762,Oahu,Honolulu,21.6497,-157.9253
Head Start,,Lanakila El.,717 N Kuakini St,Honolulu,HI,96817,Oahu,Honolulu,21.3272,-157.8601
Head Start,,Lanakila Park,1701 Lanakila Ave,Honolulu,HI,96817,Oahu,Honolulu,21.3272,-157.861
Head Start,,Linapuni Elementary,1434 Linapuni St,Honolulu,HI,96819,Oahu,Honolulu,21.3388,-157.8776
Head Start,,Makaha El.,84-200 Ala Naauao Pl.,Waianae,HI,96792,Oahu,Honolulu,21.4702,-158.2119
Head Start,,Makakilo,92-675 Anipeahi St,Kapolei,HI,96707,Oahu,Honolulu,21.3444,-158.0849
Head Start,,Maunawili El.,1465 Ulupii St,Kailua,HI,96734,Oahu,Honolulu,21.3769,-157.7525
Head Start,,Nanakuli,89-195 Farrington Hwy,Waianae,HI,96792,Oahu,Honolulu,21.3802,-158.1442
Head Start,,Palolo El.,2106 10th Ave,Honolulu,HI,96816,Oahu,Honolulu,21.3,-157.7918
Head Start,,Pauoa El.,2301 Pauoa Rd,Honolulu,HI,96813,Oahu,Honolulu,21.3185,-157.8438
Head Start,,Pohakea El.,91-750 Fort Weaver Rd,Ewa Beach,HI,96706,Oahu,Honolulu,21.316,-158.0099
